id,hostname,ip,protocol,delay_factor,command
1,A9KDORADO,10.10.66.109,ssh,10,show policy-map targets summary
2,A9KDORADO,10.10.66.109,ssh,10,show l2vpn xconnect brief
3,A9KARANDA,10.10.66.13,ssh,10,show policy-map targets summary
4,A9KARANDA,10.10.66.13,ssh,10,show l2vpn xconnect brief
5,A9KCALLE94,10.10.66.14,ssh,10,show policy-map targets summary
6,A9KCALLE94,10.10.66.14,ssh,10,show l2vpn xconnect brief
7,A9KTEUSAQUILLO,10.10.66.15,ssh,10,show policy-map targets summary
8,A9KTEUSAQUILLO,10.10.66.15,ssh,10,show l2vpn xconnect brief
9,A9KCHICOANTIGUO,10.10.66.16,ssh,10,show policy-map targets summary
10,A9KCHICOANTIGUO,10.10.66.16,ssh,10,show l2vpn xconnect brief
11,A9KBUCARAMANGA,10.10.66.236,ssh,10,show policy-map targets summary
12,A9KBUCARAMANGA,10.10.66.236,ssh,10,show l2vpn xconnect brief
13,A9KCALICENTRO,10.10.66.108,ssh,10,show policy-map targets summary
14,A9KCALICENTRO,10.10.66.108,ssh,10,show l2vpn xconnect brief
15,A9KFLORA,10.10.66.110,ssh,10,show policy-map targets summary
16,A9KFLORA,10.10.66.110,ssh,10,show l2vpn xconnect brief
17,A9KERMITA,10.10.66.18,ssh,10,show policy-map targets summary
18,A9KERMITA,10.10.66.18,ssh,10,show l2vpn xconnect brief
19,A9KHOLGUINES,10.10.66.19,ssh,10,show policy-map targets summary
20,A9KHOLGUINES,10.10.66.19,ssh,10,show l2vpn xconnect brief
21,A9KESTACION,10.10.66.17,ssh,10,show policy-map targets summary
22,A9KESTACION,10.10.66.17,ssh,10,show l2vpn xconnect brief
23,A9KDOSQUEBRADAS,10.10.66.170,ssh,10,show policy-map targets summary
24,A9KDOSQUEBRADAS,10.10.66.170,ssh,10,show l2vpn xconnect brief
25,A9KDORADO,10.10.66.109,ssh,10,show cef tables summary
26,A9KDORADO,10.10.66.109,ssh,10,show ospf 66 nei
27,A9KARANDA,10.10.66.13,ssh,10,show cef tables summary
28,A9KARANDA,10.10.66.13,ssh,10,show ospf 66 nei
29,A9KCALLE94,10.10.66.14,ssh,10,show cef tables summary
30,A9KCALLE94,10.10.66.14,ssh,10,show ospf 66 nei
31,A9KTEUSAQUILLO,10.10.66.15,ssh,10,show cef tables summary
32,A9KTEUSAQUILLO,10.10.66.15,ssh,10,show ospf 66 nei
33,A9KCHICOANTIGUO,10.10.66.16,ssh,10,show cef tables summary
34,A9KCHICOANTIGUO,10.10.66.16,ssh,10,show ospf 66 nei
35,A9KBUCARAMANGA,10.10.66.236,ssh,10,show cef tables summary
36,A9KBUCARAMANGA,10.10.66.236,ssh,10,show ospf 66 nei
37,A9KCALICENTRO,10.10.66.108,ssh,10,show cef tables summary
38,A9KCALICENTRO,10.10.66.108,ssh,10,show ospf 66 nei
39,A9KFLORA,10.10.66.110,ssh,10,show cef tables summary
40,A9KFLORA,10.10.66.110,ssh,10,show ospf 66 nei
41,A9KERMITA,10.10.66.18,ssh,10,show cef tables summary
42,A9KERMITA,10.10.66.18,ssh,10,show ospf 66 nei
43,A9KHOLGUINES,10.10.66.19,ssh,10,show cef tables summary
44,A9KHOLGUINES,10.10.66.19,ssh,10,show ospf 66 nei
45,A9KESTACION,10.10.66.17,ssh,10,show cef tables summary
46,A9KESTACION,10.10.66.17,ssh,10,show ospf 66 nei
47,A9KDOSQUEBRADAS,10.10.66.170,ssh,10,show cef tables summary
48,A9KDOSQUEBRADAS,10.10.66.170,ssh,10,show ospf 66 nei
49,A9KDORADO,10.10.66.109,ssh,10,show bgp scale
50,A9KDORADO,10.10.66.109,ssh,10,show bgp sessions
51,A9KARANDA,10.10.66.13,ssh,10,show bgp scale
52,A9KARANDA,10.10.66.13,ssh,10,show bgp sessions
53,A9KCALLE94,10.10.66.14,ssh,10,show bgp scale
54,A9KCALLE94,10.10.66.14,ssh,10,show bgp sessions
55,A9KTEUSAQUILLO,10.10.66.15,ssh,10,show bgp scale
56,A9KTEUSAQUILLO,10.10.66.15,ssh,10,show bgp sessions
57,A9KCHICOANTIGUO,10.10.66.16,ssh,10,show bgp scale
58,A9KCHICOANTIGUO,10.10.66.16,ssh,10,show bgp sessions
59,A9KBUCARAMANGA,10.10.66.236,ssh,10,show bgp scale
60,A9KBUCARAMANGA,10.10.66.236,ssh,10,show bgp sessions
61,A9KCALICENTRO,10.10.66.108,ssh,10,show bgp scale
62,A9KCALICENTRO,10.10.66.108,ssh,10,show bgp sessions
63,A9KFLORA,10.10.66.110,ssh,10,show bgp scale
64,A9KFLORA,10.10.66.110,ssh,10,show bgp sessions
65,A9KERMITA,10.10.66.18,ssh,10,show bgp scale
66,A9KERMITA,10.10.66.18,ssh,10,show bgp sessions
67,A9KHOLGUINES,10.10.66.19,ssh,10,show bgp scale
68,A9KHOLGUINES,10.10.66.19,ssh,10,show bgp sessions
69,A9KESTACION,10.10.66.17,ssh,10,show bgp scale
70,A9KESTACION,10.10.66.17,ssh,10,show bgp sessions
71,A9KDOSQUEBRADAS,10.10.66.170,ssh,10,show bgp scale
72,A9KDOSQUEBRADAS,10.10.66.170,ssh,10,show bgp sessions
73,A9KDORADO,10.10.66.109,ssh,10,show ospf vrf all summary
74,A9KDORADO,10.10.66.109,ssh,10,show route vrf all static
75,A9KARANDA,10.10.66.13,ssh,10,show ospf vrf all summary
76,A9KARANDA,10.10.66.13,ssh,10,show route vrf all static
77,A9KCALLE94,10.10.66.14,ssh,10,show ospf vrf all summary
78,A9KCALLE94,10.10.66.14,ssh,10,show route vrf all static
79,A9KTEUSAQUILLO,10.10.66.15,ssh,10,show ospf vrf all summary
